job_id,seeker_id,job_skills,seeker_skills,job_experience_level,seeker_experience_years,job_location,seeker_location,job_salary_min,seeker_salary_expectation,selected
73781f3c-27a0-40d8-9f03-5a3a4ed4f064,1eac7cbe-d9bb-4f38-a8e2-a4efd17e0c71,Maintenance|Electrical Engineering|Renewables|Dispatch|Event Planning,Counseling|Teaching|Curriculum Design|Dispatch,MID,4,Moshi,Zanzibar,6275268,14094210,0
73781f3c-27a0-40d8-9f03-5a3a4ed4f064,d952e209-390b-48d0-a014-8a08844e9926,Maintenance|Electrical Engineering|Renewables|Dispatch|Event Planning,Tax|Financial Analysis|Auditing,MID,15,Moshi,Dar es Salaam,6275268,13234351,0
1378bb4f-b0e0-487e-9a43-39f5a00546cf,fc4feb7d-2d63-4b43-af27-c0b026c9d5da,Maintenance|Energy Auditing|Renewables,Accounting|Tax|Financial Analysis,SENIOR,5,Moshi,Dar es Salaam,4862752,17073130,0
1378bb4f-b0e0-487e-9a43-39f5a00546cf,c64ca699-ff52-4cac-9533-d3c68abc9a70,Maintenance|Energy Auditing|Renewables,Civil Engineering|Site Management|Safety Compliance|eLearning,SENIOR,0,Moshi,Arusha,4862752,17648658,0
1378bb4f-b0e0-487e-9a43-39f5a00546cf,f2a4f10f-8262-42f0-97cd-af41fc488635,Maintenance|Energy Auditing|Renewables,Python|React|Android|Clinical Research,SENIOR,1,Moshi,Morogoro,4862752,10477930,0
1378bb4f-b0e0-487e-9a43-39f5a00546cf,b5272af7-cce9-4cb7-ab60-d98c58036181,Maintenance|Energy Auditing|Renewables,Nursing|Public Health|Clinical Research|SQL,SENIOR,2,Moshi,Mbeya,4862752,6864478,0
1378bb4f-b0e0-487e-9a43-39f5a00546cf,573221df-0ecd-43ab-849d-5d4bc7d8beab,Maintenance|Energy Auditing|Renewables,Fleet Management|Route Planning|Driving|Civil Engineering,SENIOR,3,Moshi,Tanga,4862752,7918050,0
1378bb4f-b0e0-487e-9a43-39f5a00546cf,4e84c879-46fc-438f-99eb-38721431c03b,Maintenance|Energy Auditing|Renewables,Soil Science|Irrigation|Agribusiness,SENIOR,9,Moshi,Dar es Salaam,4862752,8372400,0
96145dff-2bfc-4c92-b1ff-3f982e269d0f,e96692fb-0e8d-447e-a209-6b313dd51442,Driving|Route Planning|Dispatch|Special Needs|Route Planning,Soil Science|Livestock|Agribusiness|Tax,MID,13,Zanzibar,Arusha,8885620,9370791,0
96145dff-2bfc-4c92-b1ff-3f982e269d0f,91d50b97-08d8-4dc4-955b-bdfafc11f856,Driving|Route Planning|Dispatch|Special Needs|Route Planning,Driving|Fleet Management|Logistics|Tax,MID,15,Zanzibar,Morogoro,8885620,11273473,0
96145dff-2bfc-4c92-b1ff-3f982e269d0f,75588b45-fb4b-4d02-a111-5860b0902994,Driving|Route Planning|Dispatch|Special Needs|Route Planning,Surveying|Site Management|Civil Engineering,MID,4,Zanzibar,Dodoma,8885620,14295623,0
96145dff-2bfc-4c92-b1ff-3f982e269d0f,699efb54-df7d-41f0-83ca-6e0de7ff3eb0,Driving|Route Planning|Dispatch|Special Needs|Route Planning,Cloud|Django|Linux,MID,11,Zanzibar,Zanzibar,8885620,15963361,0
96145dff-2bfc-4c92-b1ff-3f982e269d0f,8ad236fd-0473-4077-9aa1-796211ad6f05,Driving|Route Planning|Dispatch|Special Needs|Route Planning,Maintenance|Grid Management|Renewables|AutoCAD|Teaching,MID,10,Zanzibar,Dar es Salaam,8885620,11665275,0
