iter	Passed	Remaining
0	59	17659
1	62	9298
2	64	6416
3	67	5015
4	70	4154
5	73	3591
6	75	3171
7	78	2856
8	80	2618
9	83	2423
10	86	2262
11	88	2127
12	91	2015
13	94	1925
14	97	1844
15	99	1773
16	102	1707
17	105	1649
18	107	1596
19	110	1548
20	113	1504
21	115	1465
22	119	1437
23	122	1409
24	125	1377
25	127	1345
26	130	1315
27	132	1288
28	135	1263
29	137	1239
30	139	1214
31	142	1193
32	144	1172
33	147	1152
34	149	1133
35	152	1116
36	154	1100
37	157	1085
38	159	1068
39	162	1054
40	164	1039
41	167	1025
42	169	1013
43	171	1000
44	174	987
45	176	975
46	179	964
47	181	953
48	184	942
49	186	932
50	188	922
51	191	912
52	193	903
53	196	895
54	199	887
55	201	879
56	204	871
57	207	864
58	210	861
59	217	870
60	222	871
61	227	874
62	230	867
63	233	860
64	235	853
65	238	846
66	241	839
67	244	833
68	248	831
69	253	831
70	256	827
71	259	823
72	263	818
73	266	814
74	270	810
75	273	805
76	275	798
77	278	791
78	280	784
79	283	778
80	285	772
81	288	766
82	290	760
83	293	754
84	295	748
85	299	745
86	302	739
87	304	734
88	307	728
89	309	723
90	312	717
91	315	713
92	319	710
93	322	707
94	325	703
95	329	699
96	331	694
97	333	688
98	335	681
99	337	675
100	340	670
101	342	665
102	347	664
103	350	660
104	353	656
105	356	653
106	359	648
107	361	642
108	364	638
109	366	632
110	368	628
111	371	623
112	374	619
113	377	615
114	379	610
115	383	608
116	387	606
117	390	601
118	394	599
119	398	597
120	401	594
121	405	592
122	409	589
123	413	586
124	416	583
125	420	580
126	424	578
127	427	574
128	429	569
129	433	566
130	435	561
131	437	556
132	439	552
133	442	548
134	446	545
135	451	544
136	454	540
137	457	537
138	461	534
139	464	531
140	467	527
141	471	524
142	474	520
143	477	517
144	480	513
145	484	511
146	487	507
147	490	503
148	498	505
149	502	502
150	509	502
151	514	501
152	520	499
153	523	496
154	530	495
155	534	493
156	538	490
157	540	486
158	543	481
159	550	482
160	557	481
161	567	483
162	574	482
163	577	479
164	580	475
165	594	480
166	604	481
167	609	478
168	612	474
169	614	470
170	617	465
171	650	484
172	665	488
173	676	489
174	685	489
175	692	488
176	708	492
177	714	489
178	722	488
179	725	483
180	736	484
181	746	484
182	752	481
183	755	476
184	767	477
185	770	472
186	787	475
187	798	475
188	810	475
189	816	472
190	825	471
191	840	472
192	847	469
193	863	471
194	866	466
195	882	468
196	903	472
197	905	466
198	918	466
199	929	464
200	940	463
201	948	460
202	953	455
203	958	450
204	962	445
205	965	440
206	968	435
207	971	429
208	974	424
209	977	418
210	979	413
211	982	408
212	987	403
213	990	397
214	992	392
215	995	387
216	997	381
217	1000	376
218	1002	370
219	1005	365
220	1008	360
221	1011	355
222	1014	350
223	1017	345
224	1020	340
225	1024	335
226	1027	330
227	1032	326
228	1036	321
229	1039	316
230	1041	311
231	1047	307
232	1051	302
233	1054	297
234	1058	292
235	1061	287
236	1064	282
237	1066	277
238	1068	272
239	1070	267
240	1074	263
241	1078	258
242	1082	253
243	1084	248
244	1087	244
245	1089	239
246	1092	234
247	1094	229
248	1097	224
249	1100	220
250	1102	215
251	1105	210
252	1108	205
253	1110	201
254	1113	196
255	1116	191
256	1118	187
257	1122	182
258	1124	178
259	1127	173
260	1131	169
261	1138	165
262	1146	161
263	1152	157
264	1155	152
265	1159	148
266	1163	143
267	1166	139
268	1169	134
269	1173	130
270	1176	125
271	1179	121
272	1182	116
273	1185	112
274	1189	108
275	1193	103
276	1196	99
277	1200	95
278	1204	90
279	1207	86
280	1211	81
281	1215	77
282	1219	73
283	1223	68
284	1227	64
285	1229	60
286	1233	55
287	1239	51
288	1243	47
289	1252	43
290	1255	38
291	1259	34
292	1261	30
293	1264	25
294	1266	21
295	1269	17
296	1272	12
297	1276	8
298	1280	4
299	1285	0
