skills_jaccard,skills_overlap,education_match,experience_years,job_experience_required,experience_gap,preferred_job_type_match,location_match,salary_within_range,seeker_rating,is_available,label
0.25,2,0.0,14,2,12,0,0,1,4.3,1,0
0.14285714285714285,1,0.0,6,0,6,0,0,1,3.9,1,0
0.0,0,0.0,10,5,5,1,1,0,4.07,0,0
0.3333333333333333,1,1.0,8,0,8,0,1,1,4.15,1,1
0.16666666666666666,1,1.0,12,0,12,1,0,1,3.96,1,0
0.125,1,0.0,5,2,3,0,0,1,2.75,1,0
0.0,0,0.0,4,0,4,0,0,1,4.77,1,0
0.25,1,0.0,1,2,-1,1,1,1,4.8,0,0
0.0,0,0.0,16,1,15,0,0,1,4.86,1,0
0.16666666666666666,1,0.0,5,3,2,1,1,0,3.36,1,0
0.25,2,0.0,8,3,5,0,1,0,2.98,1,0
0.25,1,0.0,10,2,8,0,0,1,2.66,1,0
0.0,0,0.0,16,1,15,0,0,1,3.52,1,0
0.4,2,0.0,11,5,6,0,0,0,3.57,0,0
0.0,0,0.0,11,2,9,1,0,0,4.81,1,0
0.42857142857142855,3,1.0,2,1,1,0,1,1,4.15,1,1
0.2857142857142857,2,1.0,6,2,4,0,1,1,4.41,1,0
0.16666666666666666,1,0.0,7,0,7,1,1,0,2.68,1,0
0.0,0,0.0,6,5,1,0,0,0,3.46,1,0
0.16666666666666666,1,0.0,13,2,11,0,1,0,2.6,0,0
0.1111111111111111,1,0.0,10,2,8,1,1,1,2.55,1,0
0.14285714285714285,1,0.0,16,2,14,1,1,1,4.74,0,0
0.125,1,0.0,4,0,4,0,1,1,4.13,0,0
0.14285714285714285,1,0.0,2,0,2,0,0,1,4.25,1,0
0.3333333333333333,2,1.0,10,0,10,0,1,1,3.34,1,1
0.0,0,0.0,8,2,6,0,0,0,4.11,0,0
0.2,1,1.0,12,5,7,1,1,0,4.93,1,0
0.0,0,0.0,7,2,5,1,1,1,3.08,0,0
0.0,0,1.0,8,2,6,1,1,1,4.24,1,0
0.14285714285714285,1,0.0,7,2,5,1,0,1,2.79,1,0
0.0,0,0.0,2,3,-1,1,1,0,4.23,1,0
0.0,0,1.0,2,2,0,0,1,1,4.31,1,0
0.2,1,0.0,3,3,0,0,0,0,3.34,0,0
