seeker_id,job_id,seeker_skills,job_skills,seeker_experience_years,job_experience_level,seeker_location,job_location,seeker_salary_expectation,job_salary_min,applied
230d0a2c-6aa1-45ac-8a5c-757180f08f0b,ad48a4fd-f1db-4deb-9d08-c739a479f629,Tax|Special Needs|Tour Guiding|Hotel Management|Customer Service|Logistics,Travel Planning|Electrical Engineering|React|Renewables|Grid Management,7,ENTRY,Zanzibar,Moshi,11506760,3724876,0
230d0a2c-6aa1-45ac-8a5c-757180f08f0b,bfadef9d-e87e-49a3-a42a-fc2912a19838,Tax|Special Needs|Tour Guiding|Hotel Management|Customer Service|Logistics,Networking|Travel Planning|Surveying|Customer Service|Curriculum Design|Event Planning,7,MID,Zanzibar,Mbeya,11506760,3977882,0
230d0a2c-6aa1-45ac-8a5c-757180f08f0b,0acdb4f3-2b4c-47aa-9139-16966ce6690f,Tax|Special Needs|Tour Guiding|Hotel Management|Customer Service|Logistics,Networking|Special Needs|Travel Planning|Accounting|Counseling|Teaching,7,ENTRY,Zanzibar,Morogoro,11506760,4861327,0
230d0a2c-6aa1-45ac-8a5c-757180f08f0b,08d49adf-5f15-4124-9757-b372fc34026e,Tax|Special Needs|Tour Guiding|Hotel Management|Customer Service|Logistics,Site Management|Public Health|Hotel Management|Excel|Civil Engineering|AutoCAD,7,SENIOR,Zanzibar,Morogoro,11506760,3902094,0
230d0a2c-6aa1-45ac-8a5c-757180f08f0b,6dc14c0b-c6be-4e82-bec4-1f20335e2e50,Tax|Special Needs|Tour Guiding|Hotel Management|Customer Service|Logistics,Irrigation|Accounting|Surveying|Civil Engineering|AutoCAD,7,MID,Zanzibar,Moshi,11506760,9833695,0
230d0a2c-6aa1-45ac-8a5c-757180f08f0b,255a1f74-4349-473d-8659-ef2bafc7c96c,Tax|Special Needs|Tour Guiding|Hotel Management|Customer Service|Logistics,Networking|Python|Lab Work|Surveying|Excel|Django,7,ENTRY,Zanzibar,Morogoro,11506760,7643105,0
230d0a2c-6aa1-45ac-8a5c-757180f08f0b,9cb88460-8b87-4718-9132-2db0d043d624,Tax|Special Needs|Tour Guiding|Hotel Management|Customer Service|Logistics,Special Needs|Counseling|Curriculum Design|Cloud|Crop Science,7,SENIOR,Zanzibar,Arusha,11506760,8566268,0
230d0a2c-6aa1-45ac-8a5c-757180f08f0b,e3f6990c-d8de-4070-84cb-be945b7e1e76,Tax|Special Needs|Tour Guiding|Hotel Management|Customer Service|Logistics,Driving|Route Planning|Fleet Management,7,ENTRY,Zanzibar,Mwanza,11506760,7369284,0
230d0a2c-6aa1-45ac-8a5c-757180f08f0b,d795dff2-dfb0-47e8-acb0-5441f8f70318,Tax|Special Needs|Tour Guiding|Hotel Management|Customer Service|Logistics,Public Health|Lab Work|Surveying|Clinical Research|Agribusiness,7,ENTRY,Zanzibar,Tanga,11506760,13651336,0
d34cd69e-9aed-4814-91c9-731657ab8ad2,f40c93ee-425c-4767-b8d2-c42a5bcce900,Nursing|Patient Care|Travel Planning|Clinical Research|AutoCAD,Tour Guiding|Hotel Management|Clinical Research|Event Planning|Livestock,4,ENTRY,Dodoma,Mbeya,16940465,9505319,0
d34cd69e-9aed-4814-91c9-731657ab8ad2,2f6255d8-26f7-45f8-b414-16d4eada4c6b,Nursing|Patient Care|Travel Planning|Clinical Research|AutoCAD,Safety Compliance|Patient Care|Hotel Management|Civil Engineering|AutoCAD,4,SENIOR,Dodoma,Dodoma,16940465,8365931,0
d34cd69e-9aed-4814-91c9-731657ab8ad2,3f941af3-629d-4e1d-a9cf-f3213ca814e7,Nursing|Patient Care|Travel Planning|Clinical Research|AutoCAD,Travel Planning|Energy Auditing|Soil Science|Agribusiness|Curriculum Design|Crop Science,4,SENIOR,Dodoma,Kilimanjaro,16940465,9991939,0
d34cd69e-9aed-4814-91c9-731657ab8ad2,b71443c2-a0c2-4528-affa-c4974b073b05,Nursing|Patient Care|Travel Planning|Clinical Research|AutoCAD,Curriculum Design|Special Needs|Counseling|Linux,4,SENIOR,Dodoma,Mbeya,16940465,6083967,0
d34cd69e-9aed-4814-91c9-731657ab8ad2,1cd0ca03-3e83-4246-928f-c47e829c3aa7,Nursing|Patient Care|Travel Planning|Clinical Research|AutoCAD,Electrical Engineering|Energy Auditing|Maintenance,4,ENTRY,Dodoma,Mwanza,16940465,9862159,0
6fb1263f-e557-4d46-bbd7-31218c440a3e,b47fda54-5808-4f29-9547-365cb4110c76,Special Needs|Hotel Management|eLearning|Accounting|Teaching,Special Needs|Surveying|Counseling|Curriculum Design|Cloud,14,ENTRY,Zanzibar,Morogoro,12047639,9143197,0
6fb1263f-e557-4d46-bbd7-31218c440a3e,bf8e6a23-edf6-43bc-a8f7-b176567d96d4,Special Needs|Hotel Management|eLearning|Accounting|Teaching,Clinical Research|Nursing|AutoCAD|Public Health,14,MID,Zanzibar,Dodoma,12047639,6169629,0
6fb1263f-e557-4d46-bbd7-31218c440a3e,bc7714b9-d8a9-404f-b7af-e1d031f84d2c,Special Needs|Hotel Management|eLearning|Accounting|Teaching,Agribusiness|Curriculum Design|Counseling|Teaching,14,ENTRY,Zanzibar,Dodoma,12047639,11289500,0
6fb1263f-e557-4d46-bbd7-31218c440a3e,d0bbc46a-09a4-45ce-a11d-6e7f4193cbd1,Special Needs|Hotel Management|eLearning|Accounting|Teaching,Nursing|Patient Care|Lab Work,14,MID,Zanzibar,Dodoma,12047639,11603100,0
6fb1263f-e557-4d46-bbd7-31218c440a3e,e6897176-6a51-4ef6-8c6d-e5b5eea86169,Special Needs|Hotel Management|eLearning|Accounting|Teaching,Nursing|Special Needs|eLearning|SQL|Curriculum Design,14,SENIOR,Zanzibar,Arusha,12047639,7097994,0
6fb1263f-e557-4d46-bbd7-31218c440a3e,8b04e113-dfeb-4e24-ac5e-a51f685bf4db,Special Needs|Hotel Management|eLearning|Accounting|Teaching,Tax|Public Health|React|Cloud|Event Planning|Android,14,MID,Zanzibar,Zanzibar,12047639,4201316,0
6fb1263f-e557-4d46-bbd7-31218c440a3e,63ae3fba-b7b3-4251-bd09-b51373c84291,Special Needs|Hotel Management|eLearning|Accounting|Teaching,Patient Care|Special Needs|Irrigation|eLearning|Counseling,14,ENTRY,Zanzibar,Arusha,12047639,9382100,0
6fb1263f-e557-4d46-bbd7-31218c440a3e,15b768d1-aa9f-4542-a1cb-72c0610e40c9,Special Needs|Hotel Management|eLearning|Accounting|Teaching,Tax|Financial Analysis|Accounting,14,SENIOR,Zanzibar,Tanga,12047639,9704733,0
6fb1263f-e557-4d46-bbd7-31218c440a3e,6e55b21f-36f8-491c-bfe3-839b6fdeda16,Special Needs|Hotel Management|eLearning|Accounting|Teaching,Electrical Engineering|Livestock|Agribusiness|Irrigation,14,MID,Zanzibar,Arusha,12047639,5688867,0
6fb1263f-e557-4d46-bbd7-31218c440a3e,578e539d-78b9-439b-b94d-fe085781330a,Special Needs|Hotel Management|eLearning|Accounting|Teaching,Driving|Electrical Engineering|Fleet Management|Dispatch,14,MID,Zanzibar,Arusha,12047639,14091990,0
f1651fd2-bb27-4806-ba5b-6b02adfc7508,2f6255d8-26f7-45f8-b414-16d4eada4c6b,Safety Compliance|Tax|Nursing|Civil Engineering|AutoCAD,Safety Compliance|Patient Care|Hotel Management|Civil Engineering|AutoCAD,12,SENIOR,Mwanza,Dodoma,16311884,8365931,0
f1651fd2-bb27-4806-ba5b-6b02adfc7508,c23f3d23-97b2-4c95-8c2d-430a36fe5197,Safety Compliance|Tax|Nursing|Civil Engineering|AutoCAD,Networking|Travel Planning|Tour Guiding|Accounting|Event Planning,12,ENTRY,Mwanza,Mwanza,16311884,12751256,0
f1651fd2-bb27-4806-ba5b-6b02adfc7508,88955613-0796-4575-887a-5d06f25b8773,Safety Compliance|Tax|Nursing|Civil Engineering|AutoCAD,Nursing|Electrical Engineering|Fleet Management|Maintenance|Linux|Grid Management,12,SENIOR,Mwanza,Mwanza,16311884,10793408,0
f1651fd2-bb27-4806-ba5b-6b02adfc7508,6b826e6f-7763-44cc-a969-3c9778eeb3e7,Safety Compliance|Tax|Nursing|Civil Engineering|AutoCAD,Python|Public Health|Accounting|Lab Work|Clinical Research,12,ENTRY,Mwanza,Dar es Salaam,16311884,13402711,0
f1651fd2-bb27-4806-ba5b-6b02adfc7508,331d156e-39b0-45cb-9ce3-70f2a39768af,Safety Compliance|Tax|Nursing|Civil Engineering|AutoCAD,Nursing|Python|Accounting|Lab Work|Soil Science|Clinical Research,12,SENIOR,Mwanza,Dar es Salaam,16311884,10078063,0
f1651fd2-bb27-4806-ba5b-6b02adfc7508,68eac4c6-dd15-4910-8efc-527d54fed0b6,Safety Compliance|Tax|Nursing|Civil Engineering|AutoCAD,Route Planning|Customer Service|Tour Guiding|Hotel Management,12,ENTRY,Mwanza,Zanzibar,16311884,13919788,0
f1651fd2-bb27-4806-ba5b-6b02adfc7508,c589b470-b1db-4245-abc8-5a3f26dc3569,Safety Compliance|Tax|Nursing|Civil Engineering|AutoCAD,Tax|Financial Analysis|Auditing,12,MID,Mwanza,Morogoro,16311884,10068400,0
f1651fd2-bb27-4806-ba5b-6b02adfc7508,c7038586-ff29-42f3-9bec-e4e64fae0d7d,Safety Compliance|Tax|Nursing|Civil Engineering|AutoCAD,Financial Analysis|Soil Science|Irrigation|Crop Science,12,MID,Mwanza,Kilimanjaro,16311884,5536708,0
70432db0-6bae-4576-adf2-68708047ab7d,d1fafc34-e1b0-4eb3-8749-63c591409cda,Patient Care|Site Management|Energy Auditing|Surveying|AutoCAD,Event Planning|Travel Planning|Tour Guiding|Crop Science,2,MID,Kilimanjaro,Zanzibar,8441839,12097135,0
70432db0-6bae-4576-adf2-68708047ab7d,e9a24d07-85d2-4ea3-b18e-a9747cedc131,Patient Care|Site Management|Energy Auditing|Surveying|AutoCAD,Safety Compliance|Site Management|AutoCAD|Travel Planning,2,ENTRY,Kilimanjaro,Morogoro,8441839,10922420,0
70432db0-6bae-4576-adf2-68708047ab7d,05420055-f286-41d1-b03a-47b77082559f,Patient Care|Site Management|Energy Auditing|Surveying|AutoCAD,Nursing|Travel Planning|Hotel Management|Electrical Engineering|Customer Service|Maintenance,2,SENIOR,Kilimanjaro,Zanzibar,8441839,8854657,0
70432db0-6bae-4576-adf2-68708047ab7d,a18e262b-727d-41f0-9be9-bb1206245b0d,Patient Care|Site Management|Energy Auditing|Surveying|AutoCAD,Safety Compliance|Site Management|Irrigation|Surveying|Dispatch,2,SENIOR,Kilimanjaro,Moshi,8441839,5470177,0
3a10c79c-ba14-4bff-88be-32c5e2acf00a,0ddd04d0-544f-45e7-803c-1635a907b54d,Site Management|SQL|Lab Work|Surveying|AutoCAD,Tax|Route Planning|Excel|Financial Analysis|Curriculum Design,9,MID,Kilimanjaro,Dodoma,10450405,5211739,0
3a10c79c-ba14-4bff-88be-32c5e2acf00a,69b89de7-623d-41f9-a935-a8e0297c9b27,Site Management|SQL|Lab Work|Surveying|AutoCAD,Dispatch|Logistics|Customer Service|Fleet Management,9,MID,Kilimanjaro,Dar es Salaam,10450405,11099009,0
3a10c79c-ba14-4bff-88be-32c5e2acf00a,c589b470-b1db-4245-abc8-5a3f26dc3569,Site Management|SQL|Lab Work|Surveying|AutoCAD,Tax|Financial Analysis|Auditing,9,MID,Kilimanjaro,Morogoro,10450405,10068400,0
3a10c79c-ba14-4bff-88be-32c5e2acf00a,90bb7449-be57-4717-ad0f-126b4bebe79d,Site Management|SQL|Lab Work|Surveying|AutoCAD,Electrical Engineering|Excel|Renewables|Maintenance|Django,9,ENTRY,Kilimanjaro,Moshi,10450405,3459634,0
70c34067-f86b-4c55-a163-8cc6d8f57e69,d3e53d66-79db-4883-bc50-8a2ae737645e,Nursing|Patient Care|Public Health,Travel Planning|Event Planning|Tour Guiding,15,ENTRY,Arusha,Moshi,10007581,3652523,0
70c34067-f86b-4c55-a163-8cc6d8f57e69,f63e32b9-4b80-4aed-9444-917faf2ae9b2,Nursing|Patient Care|Public Health,Safety Compliance|Route Planning|Surveying|Driving|Fleet Management,15,ENTRY,Arusha,Mwanza,10007581,3166478,0
70c34067-f86b-4c55-a163-8cc6d8f57e69,e351d724-bddb-4a65-bc5c-b8fb078f89c2,Nursing|Patient Care|Public Health,Civil Engineering|Surveying|AutoCAD,15,SENIOR,Arusha,Mwanza,10007581,14268034,0
70c34067-f86b-4c55-a163-8cc6d8f57e69,a266332c-a1e3-4f58-9eae-025e7a12b459,Nursing|Patient Care|Public Health,Special Needs|Counseling|Teaching,15,ENTRY,Arusha,Arusha,10007581,13827235,0
1bd47923-1026-40a8-bc55-0403a98153e6,5d74a703-fec6-4e93-81b5-8c5d74e4b95b,Tour Guiding|Public Health|Customer Service|Financial Analysis|Event Planning|Fleet Management,Safety Compliance|Surveying|AutoCAD,10,SENIOR,Kilimanjaro,Kilimanjaro,10254056,9520855,0
1bd47923-1026-40a8-bc55-0403a98153e6,1d8ab30c-7aa9-4a5b-9f44-35eb58f1070a,Tour Guiding|Public Health|Customer Service|Financial Analysis|Event Planning|Fleet Management,Networking|Electrical Engineering|Energy Auditing|Renewables|Maintenance|Grid Management,10,MID,Kilimanjaro,Moshi,10254056,13634472,0
1bd47923-1026-40a8-bc55-0403a98153e6,6a415552-117f-456e-a0ea-959492a6b3b1,Tour Guiding|Public Health|Customer Service|Financial Analysis|Event Planning|Fleet Management,Patient Care|Hotel Management|Accounting|SQL|Auditing|Financial Analysis,10,ENTRY,Kilimanjaro,Dar es Salaam,10254056,11834483,0
1bd47923-1026-40a8-bc55-0403a98153e6,0d6fe72b-e202-4dfb-a99b-bc737ff19924,Tour Guiding|Public Health|Customer Service|Financial Analysis|Event Planning|Fleet Management,Event Planning|Tour Guiding|Hotel Management,10,ENTRY,Kilimanjaro,Moshi,10254056,13873759,1
1bd47923-1026-40a8-bc55-0403a98153e6,164bf40c-48c4-4782-a783-7add4c86ecc3,Tour Guiding|Public Health|Customer Service|Financial Analysis|Event Planning|Fleet Management,Safety Compliance|Accounting|Soil Science|Agribusiness|Crop Science,10,MID,Kilimanjaro,Kilimanjaro,10254056,8235703,0
1bd47923-1026-40a8-bc55-0403a98153e6,180504a7-8a12-446a-896a-0955f039a944,Tour Guiding|Public Health|Customer Service|Financial Analysis|Event Planning|Fleet Management,Travel Planning|Hotel Management|SQL|Electrical Engineering|Customer Service,10,ENTRY,Kilimanjaro,Mbeya,10254056,7320324,0
1bd47923-1026-40a8-bc55-0403a98153e6,dc85c119-c660-4756-b150-6c6232b54dc0,Tour Guiding|Public Health|Customer Service|Financial Analysis|Event Planning|Fleet Management,Electrical Engineering|Energy Auditing|Dispatch|Counseling|Maintenance|Financial Analysis,10,MID,Kilimanjaro,Mwanza,10254056,5510511,0
1bd47923-1026-40a8-bc55-0403a98153e6,266a32bf-fe66-45de-a42b-cf873e59f4f5,Tour Guiding|Public Health|Customer Service|Financial Analysis|Event Planning|Fleet Management,Patient Care|Nursing|Public Health|Lab Work|Customer Service|Logistics,10,MID,Kilimanjaro,Tanga,10254056,4848697,0
