job_id,title,recruiter_id,industry,requirements,location,experience_level,salary_min,salary_max
728dd229-56d7-4973-b90e-99e066fb1b5a,Commissioning editor,688f9cd0-f735-4045-a725-b5ed5d6dfd21,Education,Curriculum Design|Counseling|Teaching,Arusha,ENTRY,8265165,8880848
c9f3be42-3a54-4257-ab16-dd741f441a41,Legal secretary,5f159f0e-a8c7-4c38-9e37-412ac3171a73,Education,Special Needs|Counseling|Teaching,Tanga,SENIOR,8357941,9102763
1b019610-019f-4483-b6a6-e23d8bc880df,Geochemist,3122ec9d-4032-49a8-9169-3c0129d811cf,Transport,Route Planning|Travel Planning|Accounting|Surveying|Dispatch|Fleet Management,Mwanza,ENTRY,10335561,12953965
fe7700f2-0286-4bcf-97c4-bac90f7ab55b,Stage manager,7cd8132e-7fb9-4e57-8232-0118b57fbb67,Construction,Flutter|Surveying|React|Soil Science|Civil Engineering|AutoCAD,Moshi,MID,6233479,8525627
0d55b922-ea35-446c-816c-26dfd26e45d9,Environmental education officer,dac75e69-d30a-40ad-af6a-b86eb179c74d,Tourism,Travel Planning|Event Planning|Hotel Management,Mwanza,ENTRY,14470510,16407402
0cb8f62d-b997-49c7-aa69-fe9d24082f91,Medical physicist,810f53ff-1fe2-4f98-b708-303f24f11fae,Tourism,Networking|Customer Service|Tour Guiding|Hotel Management,Mwanza,ENTRY,7704312,12037517
17059eed-aaf8-45ba-b8e8-04e7ee48d772,Visual merchandiser,c58b87c4-cbee-4be4-a3d6-0755728f3a69,Tourism,Travel Planning|Customer Service|Event Planning|AutoCAD,Mbeya,ENTRY,10590073,12165359
80a885cd-6022-4d41-89ff-d06cf7cf568d,Systems developer,619bd277-3a5b-4072-a873-9995e9c0ccb1,Energy,Route Planning|Travel Planning|Energy Auditing|Renewables|Django|Grid Management,Arusha,ENTRY,11579936,13168079
a225c07d-a8ad-4b36-8ec0-cfccb1abd944,"Psychotherapist, dance movement",fc88a23d-71d1-4a72-ab49-83595a131b3a,Education,eLearning|Special Needs|Agribusiness|Teaching,Tanga,MID,5089615,6594885
292f5854-7ceb-4277-b34a-91a5d76e7a76,Hydrologist,ac0b8d36-c8bd-4c7f-ac4e-23602819990c,Agriculture,Irrigation|Public Health|Curriculum Design|Logistics|Livestock|Crop Science,Kilimanjaro,ENTRY,14017182,18768493
b4e50640-cfcb-472d-bc7c-d8c3d683ce16,Chartered public finance accountant,f40d1917-9ca2-4eee-bdad-5083c4ea9924,Education,Route Planning|Special Needs|Flutter|Surveying|Counseling|Teaching,Morogoro,MID,8490166,9529237
50ba8e92-a9d9-42ba-892b-266538dd6040,Agricultural consultant,c58b87c4-cbee-4be4-a3d6-0755728f3a69,Tourism,Tour Guiding|Hotel Management|Surveying|Customer Service|Logistics,Mbeya,SENIOR,13411663,15774432
cfc24bf8-4640-4513-af97-d71649203106,Community development worker,d81fb6c1-7a01-4ffc-b79d-cee5489c3e23,Energy,Route Planning|Electrical Engineering|Energy Auditing|Renewables|Maintenance|AutoCAD,Mwanza,SENIOR,6039109,7480604
d94ae12b-fa81-4af5-939b-3b92ca951405,"Lecturer, higher education",84de95c3-ce38-491b-8744-0e62040bd430,Finance,Tax|Financial Analysis|Auditing|Android,Tanga,ENTRY,11855613,12385086
e351d724-bddb-4a65-bc5c-b8fb078f89c2,Museum education officer,cb163982-3ecc-4953-9357-91af843b2dad,Construction,Civil Engineering|Surveying|AutoCAD,Mwanza,SENIOR,14268034,15964098
db59c9b4-09eb-46bc-8151-1341dd893e68,Sales promotion account executive,e18f92a0-b462-4ebc-828e-2b60d1443937,Finance,Tax|Accounting|Django|Auditing,Mwanza,MID,5527529,6476695
3e3a432b-b7c9-479e-9e2a-d774f4be7bfc,Claims inspector/assessor,8f61b7f8-508b-43d4-b4cf-ae05ed6c2dcd,Finance,Financial Analysis|Auditing|Excel,Mbeya,MID,10333430,13454653
1cd0ca03-3e83-4246-928f-c47e829c3aa7,"Clinical scientist, histocompatibility and immunogenetics",5f54a9ea-ebbd-488f-a28b-c62c60549c5f,Energy,Electrical Engineering|Energy Auditing|Maintenance,Mwanza,ENTRY,9862159,11983025
